DOMAIN (L0),SUB DOMAIN (L1),CATEGORY (L2),SUBCATEGORY (L3),PRODUCT TYPE (L4),Suggestive Enums,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Retail,Fashion,Infants,Infant Feeding & Nursing Essentials,Teethers & Nibblers,Teether With Fruit Nibbler,Teether For Baby,Teether For Baby 0-6 Months,Teether For Baby Soft,Teether For Baby Girl,Nibbler For Babies 0-6,New Born Baby Honey Nibbler,New Born Nibbler,,,,,,,
Retail,Fashion,Infants,Infant Feeding & Nursing Essentials,Food Storage & Milk Storages,Food Storage Container,Portable Baby Food,Milk Powder Storage Box Bottle,Bottle Container,Food Storage Box,Microwavable Baby Food Box,Food Storage Bags,Food Storage Basket,Plastic Storage Containers,Glass Box,,,,,
Retail,Fashion,Infants,Infant Feeding & Nursing Essentials,Sippers & Cups,Sippy Cups For Toddlers,Milk Sippy Cups For Toddlers,Sippers Cups For Kids,Sipper Cup With Double Handle,Trainer Sipper Cup,Rainer Sipper Cup,Sippy Cup With Soft Silicone,Bubble Straw Sipper,Straw Sipper Bottle,,,,,,
Retail,Fashion,Infants,Infant Feeding & Nursing Essentials,Weaning Plates & Bowls,Tableware Set Baby,Baby Suction Base Plate,Cup Fork And Spoon,Baby Feeding Utensils For Kids,Dinner Set For Weaning Toddlers,Plate Bowl Cup Fork And Spoon,Suction Bowl With Lid And Spoon,Set Of Plate Bowl Cup Fork And Spoon,Plates Bowls Set,Microwave Safe Plates And Bowls,,,,,
Retail,Fashion,Infants,Infant Feeding & Nursing Essentials,Kids Water Bottles & Lunch Box,Lunch Boxes For Kids Water Bottles,Lunch Boxes For Office Men,Lunch Boxes For Kids,Lunch Boxes For Office,Lunch Boxes For Kids To School,Water Bottles For Kids,Water Bottles For School,Water Bottles For Girls,Water Bottles For Girls Sipper,Water Bottles Hot And Cold,,,,,
Retail,Fashion,Infants,Infant Feeding & Nursing Essentials,Bottle Warmer & Sterilizer,Baby Bottle Sterilizer And Warmer,Bottle Warmer For Babies Milk,Bottle Warmer Portable,Bottle Warmer For Babies,Sterilizer For Baby,Sterilizer For Baby Bottles,,,,,,,,,
Retail,Fashion,Infants,Infant Bath Accessories,Bath Tub,,,,,,,,,,,,,,,
Retail,Fashion,Infants,Infant Bath Accessories,Bather & Chair,Baby Bather Bath Chair,Newborn Baby Bather Bath Chair,Kids Bather Chair,Baby Bather Chair,Baby Bather Chair Sling,Foldable Bather Bath Chair,Position Adjustable Chair,Baby Silicone Bath Chair,Jungle Tales Baby Bather Chair,,,,,,
Retail,Fashion,Infants,Infant Bath Accessories,Bath Sponge & Bath Caps,,,,,,,,,,,,,,,
Retail,Fashion,Infants,Infant Bath Accessories,Bath Stands & Box,Bath Soap Box Stand,Sope Bath Stand Box,Wall Stand Holder Box,Support Bathroom,Support Kitchen,Bathtub Soap Box,Soap Dish Holder,Bathroom Soap Stand For Kids,Soap Holder Box,Bath Stands And Box For Babies,,,,,
Retail,Fashion,Infants,Infant Bath Accessories,Quick Dry Sheet & Changing Mats,Dry Sheet For Baby,Baby Bed Protector,Bed Waterproof Sheet Changing Mat,Waterproof Plastic Sheet,Quick-Dry Diaper Changing Mat For Baby,Bed Changing Mat,Chloride Bed Protector Sheet,Extra Absorbent Dry Sheets,,,,,,,
Retail,Fashion,Infants,Infant Health & Safety,Care Equipments,New Born Hooded,Wearable Baby Blanket,Kid Baby Safe Led Flashlight Earpick,Luminous Visible Ear Spoon,Cleaning And Removal Tool,Curette Store Extra Extensions,Ear Wax Remover,Ear Cleaning Tools For Kids,Reusable Earbuds Noise Cancellation,Ear Endoscope Otoscope,,,,,
Retail,Fashion,Infants,Infant Health & Safety,Detergent & Cleansers,Detergent Powder,Detergent Liquid,Detergent Liquid 5 Ltr,Detergent For Baby Clothes,Cleaning Kits,Liquid Laundry Detergent,Iquid Detergent Refill,Anti-Bacterial Baby Bottles,,,,,,,
Retail,Fashion,Infants,Infant Health & Safety,Humidifiers & Air Purifiers,Air Purifier With Humidifier For Homes,Air Purifier With Humidifier For Office,Air Purifier With Humidifier For Rooms,Room Freshner,Electric Air Purifier Humidifier,Humidifier Revitalizer,Humidifier Cool Mist Air Purifier,Room Air Purifier And Humidifier,,,,,,,
Retail,Fashion,Infants,Infant Health & Safety,Mosquito Repellants,Mosquito Repellents For Baby,Mosquito Repellents For Baby Spray,Mosquito Repellents For Kids,Mosquito Repellents Spray For Home,Mosquito Repellents Machine,Mosquito Repellant Fabric Roll On,Mostick Mosquito Repellent Incense,Mosquito Repellent Vaporizer,Mosquito Repellent Refill,,,,,,
Retail,Fashion,Infants,Infant Health & Safety,Sanitisers & Hand Cleansing Gels,Bath And Body Works Cleansing Hand Gel,Studio West Hand Cleansing Gel,Hand Sanitizer With Moisturizer,Sensitive Skin,Hand Rub Sanitizer,Rose Hand Sanitizer,Hand Rub Sanitizer,Protective Bionic Shield,,,,,,,
