L3	L4	product_name	L2
Footwear	Flats	Women Yellow Textured Ethnic Open Toe Flats	Women's Footwear
Footwear	Casual Shoes	Men Brown & Beige Comfort Sandals	Men's Footwear
Footwear	Flats	Women Pink Printed Mules Flats	Women's Footwear
Footwear	Heels	Beige Striped Comfort Sandals	Women's Footwear
Footwear	Sports Shoes	Men Grey Walking Non-Marking Shoes	Men's Footwear
Footwear	Heels	Women Blue Striped Block Heels	Women's Footwear
Footwear	Heels	Women Block Mules	Women's Footwear
Footwear	Sports Shoes	Men Black Textile Running Non-Marking Shoes	Men's Footwear
Footwear	Sports Shoes	Men Mesh Walking Shoes	Men's Footwear
Footwear	Sports Shoes	Men Orange Cricket Non-Marking Sports Shoes	Men's Footwear
Footwear	Sports Shoes	Men Blue Mesh Running Shoes	Men's Footwear
Footwear	Heels	Nude-Coloured PU Block Heels	Women's Footwear
Footwear	Heels	Black Embellished Block Heels	Women's Footwear
Footwear	Sports Shoes	Men Black Self Checked HOVR Sonic SE Running Shoes	Men's Footwear
Footwear	Flats	Women Black Embellished Open Toe Flats	Women's Footwear
Footwear	Sports Shoes	Men Woven Design Roav V1 Running Shoes	Men's Footwear
Footwear	Heels	Women White Solid Ankle Loop Stiletto Heels	Women's Footwear
Footwear	Flats	Solid Mules with Bows Detail	Women's Footwear
Footwear	Heels	Gold-Toned Wedge Sandals	Women's Footwear
Footwear	Sports Shoes	Men Lace-Up Mid-Top Off White Mesh Walking Shoes	Men's Footwear
Footwear	Heels	Black Kitten Mules	Women's Footwear
Footwear	Sports Shoes	Men Black Woven Design Adi Ace Running Shoes	Men's Footwear
Footwear	Heels	Pink PU Block Peep Toes with Bows	Women's Footwear
Footwear	Heels	Wedge Heels Pumps with Buckles	Women's Footwear
Footwear	Sports Shoes	Men Black Running Shoes	Men's Footwear
Footwear	Sports Shoes	Men Grey Mesh Running Shoes	Men's Footwear
Footwear	Sports Shoes	Men Blue Mesh Walking Non-Marking Shoes	Men's Footwear
Footwear	Casual Shoes	Men Black Solid Leather One-Toe Sandals	Men's Footwear
Footwear	Sports Shoes	Men Navy Blue & White Printed Daily 3.0 Skateboarding Shoes	Men's Footwear
Footwear	Flats	Women Tan Solid Open Toe Flats	Women's Footwear
Footwear	Sports Shoes	Men Grey Mesh Running Non-Marking Shoes	Men's Footwear
Footwear	Sports Shoes	Men Black Textile Running Non-Marking Shoes	Men's Footwear
Footwear	Sports Shoes	Men Maroon Core Sports Shoe	Men's Footwear
Footwear	Heels	Women Gold-Toned Solid Heels	Women's Footwear
Footwear	Casual Shoes	Men Beige Ethnic Comfort Sandals	Men's Footwear
Footwear	Sports Shoes	Men White Mesh Running Non-Marking Sports Shoes	Men's Footwear
Footwear	Flats	Women Blue Solid Open Toe Flats	Women's Footwear
Footwear	Flats	Women Solid One Toe Flats	Women's Footwear
Footwear	Sports Shoes	Men Blue GEL-PULSE 13 Sports Shoes	Men's Footwear
Footwear	Heels	Women Brown Comfort Heels	Women's Footwear
Footwear	Flats	Women Sage Green & Cream-Colored Stone Embellished Ethnic Ballernas	Women's Footwear
Footwear	Flats	Women Beige & Coffee Brown Snakeskin Textured Ballerinas	Women's Footwear
Footwear	Heels	Block Heels	Women's Footwear
Footwear	Heels	Women Black Cross Strap Square Toe Kitten Heels	Women's Footwear
Footwear	Casual Shoes	Men Brown Leather Fisherman Sandals	Men's Footwear
Footwear	Heels	Women Brown Solid Wedges	Women's Footwear
Footwear	Flats	Women Peach-Coloured Printed Open Toe Flats	Women's Footwear
Footwear	Flats	Women Printed T-Strap Flats	Women's Footwear
Footwear	Flats	Women Beige Printed Open Toe Flats with Bows	Women's Footwear
Footwear	Flats	Women Teal Open Toe Flats	Women's Footwear
Footwear	Flats	Women Black Textured One Toe Flats	Women's Footwear
Footwear	Flats	Women White Open Toe Flats	Women's Footwear
Footwear	Flats	Women Multicoloured Embellished Open Toe Flats	Women's Footwear
